"filename", "language", "JavaScript", "JSON", "TypeScript", "PostCSS", "Markdown", "HTML", "JSON with Comments", "Svelte", "XML", "comment", "blank", "total"
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Modalities\Audio\Audio.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 2, 11, 62
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Modalities\Audio\Microphone.ts", "TypeScript", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 20, 132
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Modalities\Background\Generate.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 2, 6, 53
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Modalities\Input_Avatar.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 366, 0, 3, 45, 414
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Modalities\Input_Text.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 434, 0, 1, 41, 476
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Modalities\Logic.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 6, 27
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Modalities\Logic\Misc.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 2, 23
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Modalities\Logic\Processing.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 8, 30
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Modalities\Visemes\Static.ts", "TypeScript", 0, 0, 281, 0, 0, 0, 0, 0, 0, 37, 25, 343
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Modalities\Visemes\Visemize.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 7, 17, 62
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Modalities\Webcam\WebCam.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 121, 0, 1, 18, 140
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Ergebnisse\Ergebnisse.json", "JSON", 0, 3781, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3781
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Ergebnisse\Tests.json", "JSON", 0, 593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 593
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\CROSS\Cross.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 6, 30
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\CROSS\SUB\AVATAR.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 103, 0, 3, 9, 115
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\CROSS\SUB\CorrelationsMatrix.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 189, 0, 0, 9, 198
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\CROSS\SUB\Order.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 99, 0, 3, 9, 111
